,att_all_ave,att_AD_ave,att_SCZ_ave,att_dat_ave
PC:LEF1 -> COBLL1,0.5079662557577198,0.6055948665150005,0.6108126101662406,0.10652185189884449
Micro:IRF8 -> PIK3AP1,0.5106379569280907,0.674785302742408,0.5206863981195509,0.13859399390664617
Oligo:IKZF1 -> ST8SIA4,0.04216399777038346,0.0942237961588791,0.039148386289573796,0.06501195512349424
Oligo:FLI1 -> RNF144B,0.40912683949351036,0.3636258087930099,0.46407052859940334,0.46111750311508404
Astro:TCF7L2 -> YAP1,0.006021093475470821,0.06324165487602128,0.056635038605714574,0.0013655178522710362
Oligo:FLI1 -> ITGAX,0.35254723670154964,0.25209771668073294,0.17777257881728226,0.6080729055543795
Endo:LEF1 -> ADGRF5,0.6988320414975877,0.9589125283248174,0.8824262189274485,0.48504383884736424
Oligo:FLI1 -> MSN,0.4258431383298311,0.4377183645704884,0.2779284455868015,0.5415354067822573
Oligo:FLI1 -> MYO1F,0.10389567206144674,0.4716344394992633,0.14623374713678175,0.06704976442288454
Micro:IRF8 -> SLCO2B1,0.3795866222169215,0.46059779787058874,0.3380331165988364,0.428606377506644
Oligo:RUNX1 -> PTPRE,0.017940151586234975,0.13636255835619168,0.08810114139622176,0.0027006928305100555
