,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Oligo:ETV6 -> CSF3R,0.04806291770266401,0.020656466729700486,0.0233582197194311,0.07411849218076223,0.034563635734760394,0.025070972853256487,0.022796471548635167,0.045193549268574974
Oligo:IKZF1 -> ALOX5,0.06702484823167044,0.05461953564539,0.05111993294441098,0.08117996216844041,0.11698667743728362,0.10781300936439489,0.10459109378700775,0.127771303298866
Oligo:IKZF1 -> CD86,0.06996849549432355,0.05436623976306122,0.05374708435678181,0.0858803289287256,0.0703850413806243,0.05698454986373663,0.059272902989155836,0.08264135633480242
Oligo:FLI1 -> CLEC7A,0.07641064623642466,0.05664680521475532,0.05717433980922455,0.09591071996085938,0.17325538667253876,0.15608339566766108,0.16118944712454503,0.18787435194897448
Astro:TCF7L2 -> C4orf19,0.1327672415626297,0.09867886901396805,0.10611794557356836,0.16313607583149123,0.05892753527299403,0.024444869085551497,0.037520757467371046,0.08687225726952677
EN_L5_6_NP:ERG -> NOSTRIN,0.0672665041055622,0.05393856817005366,0.06279058321926646,0.07616843251646437,0.0805270617925386,0.04373759312723744,0.03538135750989179,0.12149464826651263
Oligo:RUNX1 -> CD86,0.060865792574130315,0.03997693442429008,0.04063515736132094,0.08142553925545515,0.06103649280786875,0.05224010254378842,0.04931341170458539,0.07129622849155062
Oligo:ETV6 -> RUNX1,0.03328747552408282,0.004826359931010609,0.012554422207934162,0.05788455997869329,0.016197042347259535,0.011469586401523277,0.00914460908627006,0.022086986950622434
Oligo:FLI1 -> CPED1,0.06162727251974665,0.04956441077761898,0.04561664021568626,0.0756640195428407,0.11768780179341123,0.1057738991511231,0.10036711795485644,0.13230509503383273
Astro:TCF7L1 -> AHNAK,0.17631734370529323,0.162458533385489,0.16682738354148544,0.1879917289470993,0.026698028904489052,0.005339764136986573,0.010327008050913437,0.04556267171502811
Oligo:FLI1 -> MYOF,0.11222175097867881,0.09361734278754597,0.08948351782692517,0.13289307165012212,0.12133175409154917,0.09714949482035953,0.09643459147379137,0.14587146503602286
Astro:TCF7L1 -> PRRX1,0.11988695330486585,0.09853562646969884,0.09852990026670927,0.14124114324152762,0.04089435313231422,0.024238698530978316,0.02561589415981805,0.05686140991923025
