,variable,value,var_cat,category
524,CT,26,CT,nodes
525,CT,27,CT,nodes
526,CT,26,CT,nodes
527,CT,27,CT,nodes
528,CT,23,CT,nodes
529,CT,21,CT,nodes
530,CT,27,CT,nodes
531,CT,27,CT,nodes
532,CT,27,CT,nodes
533,CT,26,CT,nodes
534,CT,25,CT,nodes
535,CT,25,CT,nodes
536,CT,27,CT,nodes
537,CT,26,CT,nodes
538,CT,25,CT,nodes
539,CT,27,CT,nodes
540,CT,24,CT,nodes
541,CT,27,CT,nodes
542,CT,26,CT,nodes
543,CT,26,CT,nodes
544,CT,27,CT,nodes
545,CT,25,CT,nodes
546,CT,26,CT,nodes
547,CT,26,CT,nodes
548,CT,27,CT,nodes
549,CT,27,CT,nodes
550,CT,27,CT,nodes
551,CT,26,CT,nodes
552,CT,25,CT,nodes
553,CT,27,CT,nodes
554,CT,25,CT,nodes
555,CT,26,CT,nodes
556,CT,27,CT,nodes
557,CT,23,CT,nodes
558,CT,25,CT,nodes
559,CT,11,CT,nodes
560,CT,27,CT,nodes
561,CT,27,CT,nodes
562,CT,27,CT,nodes
563,CT,27,CT,nodes
564,CT,25,CT,nodes
565,CT,27,CT,nodes
566,CT,25,CT,nodes
567,CT,27,CT,nodes
568,CT,27,CT,nodes
569,CT,26,CT,nodes
570,CT,26,CT,nodes
571,CT,26,CT,nodes
572,CT,27,CT,nodes
573,CT,22,CT,nodes
574,CT,26,CT,nodes
575,CT,27,CT,nodes
576,CT,26,CT,nodes
577,CT,25,CT,nodes
578,CT,27,CT,nodes
579,CT,27,CT,nodes
580,CT,26,CT,nodes
581,CT,26,CT,nodes
582,CT,26,CT,nodes
583,CT,26,CT,nodes
584,CT,26,CT,nodes
585,CT,27,CT,nodes
586,CT,23,CT,nodes
587,CT,26,CT,nodes
588,CT,25,CT,nodes
589,CT,26,CT,nodes
590,CT,16,CT,nodes
591,CT,26,CT,nodes
592,CT,25,CT,nodes
593,CT,25,CT,nodes
594,CT,24,CT,nodes
595,CT,26,CT,nodes
596,CT,25,CT,nodes
597,CT,21,CT,nodes
598,CT,21,CT,nodes
599,CT,25,CT,nodes
600,CT,25,CT,nodes
601,CT,26,CT,nodes
602,CT,18,CT,nodes
603,CT,18,CT,nodes
604,CT,26,CT,nodes
605,CT,27,CT,nodes
606,CT,23,CT,nodes
607,CT,26,CT,nodes
608,CT,25,CT,nodes
609,CT,26,CT,nodes
610,CT,26,CT,nodes
611,CT,26,CT,nodes
612,CT,26,CT,nodes
613,CT,23,CT,nodes
614,CT,25,CT,nodes
615,CT,24,CT,nodes
616,CT,27,CT,nodes
617,CT,24,CT,nodes
618,CT,25,CT,nodes
619,CT,24,CT,nodes
620,CT,23,CT,nodes
621,CT,26,CT,nodes
622,CT,26,CT,nodes
623,CT,21,CT,nodes
624,CT,27,CT,nodes
625,CT,25,CT,nodes
626,CT,25,CT,nodes
627,CT,27,CT,nodes
628,CT,27,CT,nodes
629,CT,27,CT,nodes
630,CT,26,CT,nodes
631,CT,23,CT,nodes
632,CT,27,CT,nodes
633,CT,26,CT,nodes
634,CT,25,CT,nodes
635,CT,26,CT,nodes
636,CT,25,CT,nodes
637,CT,27,CT,nodes
638,CT,25,CT,nodes
639,CT,27,CT,nodes
640,CT,27,CT,nodes
641,CT,27,CT,nodes
642,CT,27,CT,nodes
643,CT,26,CT,nodes
644,CT,25,CT,nodes
645,CT,26,CT,nodes
646,CT,26,CT,nodes
647,CT,26,CT,nodes
648,CT,25,CT,nodes
649,CT,25,CT,nodes
650,CT,25,CT,nodes
651,CT,27,CT,nodes
652,CT,26,CT,nodes
653,CT,27,CT,nodes
654,CT,26,CT,nodes
655,CT,27,CT,nodes
656,CT,25,CT,nodes
657,CT,27,CT,nodes
658,CT,26,CT,nodes
659,CT,27,CT,nodes
660,CT,26,CT,nodes
661,CT,27,CT,nodes
662,CT,25,CT,nodes
663,CT,26,CT,nodes
664,CT,19,CT,nodes
665,CT,26,CT,nodes
666,CT,27,CT,nodes
667,CT,25,CT,nodes
668,CT,14,CT,nodes
669,CT,18,CT,nodes
670,CT,27,CT,nodes
671,CT,24,CT,nodes
672,CT,26,CT,nodes
673,CT,26,CT,nodes
674,CT,26,CT,nodes
675,CT,25,CT,nodes
676,CT,26,CT,nodes
677,CT,25,CT,nodes
678,CT,23,CT,nodes
679,CT,22,CT,nodes
680,CT,26,CT,nodes
681,CT,26,CT,nodes
682,CT,25,CT,nodes
683,CT,26,CT,nodes
684,CT,26,CT,nodes
685,CT,25,CT,nodes
686,CT,26,CT,nodes
687,CT,27,CT,nodes
688,CT,26,CT,nodes
689,CT,22,CT,nodes
690,CT,25,CT,nodes
691,CT,9,CT,nodes
692,CT,26,CT,nodes
693,CT,20,CT,nodes
694,CT,26,CT,nodes
695,CT,26,CT,nodes
696,CT,23,CT,nodes
697,CT,27,CT,nodes
698,CT,27,CT,nodes
699,CT,26,CT,nodes
700,CT,26,CT,nodes
701,CT,24,CT,nodes
702,CT,27,CT,nodes
703,CT,27,CT,nodes
704,CT,25,CT,nodes
705,CT,24,CT,nodes
706,CT,26,CT,nodes
707,CT,24,CT,nodes
708,CT,26,CT,nodes
709,CT,27,CT,nodes
710,CT,27,CT,nodes
711,CT,24,CT,nodes
712,CT,26,CT,nodes
713,CT,27,CT,nodes
714,CT,27,CT,nodes
715,CT,25,CT,nodes
716,CT,26,CT,nodes
717,CT,27,CT,nodes
718,CT,26,CT,nodes
719,CT,26,CT,nodes
720,CT,26,CT,nodes
721,CT,27,CT,nodes
722,CT,26,CT,nodes
723,CT,27,CT,nodes
724,CT,27,CT,nodes
725,CT,27,CT,nodes
726,CT,26,CT,nodes
727,CT,27,CT,nodes
728,CT,24,CT,nodes
729,CT,26,CT,nodes
730,CT,27,CT,nodes
731,CT,22,CT,nodes
732,CT,25,CT,nodes
733,CT,22,CT,nodes
734,CT,26,CT,nodes
735,CT,26,CT,nodes
736,CT,27,CT,nodes
737,CT,27,CT,nodes
738,CT,26,CT,nodes
739,CT,25,CT,nodes
740,CT,27,CT,nodes
741,CT,27,CT,nodes
742,CT,25,CT,nodes
743,CT,27,CT,nodes
744,CT,26,CT,nodes
745,CT,25,CT,nodes
746,CT,27,CT,nodes
747,CT,27,CT,nodes
748,CT,26,CT,nodes
749,CT,27,CT,nodes
750,CT,24,CT,nodes
751,CT,24,CT,nodes
752,CT,26,CT,nodes
753,CT,27,CT,nodes
754,CT,26,CT,nodes
755,CT,27,CT,nodes
756,CT,27,CT,nodes
757,CT,25,CT,nodes
758,CT,26,CT,nodes
759,CT,22,CT,nodes
760,CT,12,CT,nodes
761,CT,27,CT,nodes
762,CT,24,CT,nodes
763,CT,27,CT,nodes
764,CT,26,CT,nodes
765,CT,12,CT,nodes
766,CT,24,CT,nodes
767,CT,26,CT,nodes
768,CT,26,CT,nodes
769,CT,27,CT,nodes
770,CT,26,CT,nodes
771,CT,25,CT,nodes
772,CT,24,CT,nodes
773,CT,26,CT,nodes
774,CT,26,CT,nodes
775,CT,27,CT,nodes
776,CT,26,CT,nodes
777,CT,23,CT,nodes
778,CT,24,CT,nodes
779,CT,25,CT,nodes
780,CT,25,CT,nodes
781,CT,21,CT,nodes
782,CT,27,CT,nodes
783,CT,25,CT,nodes
784,CT,26,CT,nodes
785,CT,26,CT,nodes
786,CT,26,CT,nodes
787,CT,27,CT,nodes
788,CT,13,CT,nodes
789,CT,25,CT,nodes
790,CT,27,CT,nodes
791,CT,27,CT,nodes
792,CT,26,CT,nodes
793,CT,25,CT,nodes
794,CT,26,CT,nodes
795,CT,27,CT,nodes
796,CT,27,CT,nodes
797,CT,7,CT,nodes
798,CT,26,CT,nodes
799,CT,27,CT,nodes
800,CT,27,CT,nodes
801,CT,27,CT,nodes
802,CT,22,CT,nodes
803,CT,26,CT,nodes
804,CT,22,CT,nodes
805,CT,25,CT,nodes
806,CT,27,CT,nodes
807,CT,27,CT,nodes
808,CT,25,CT,nodes
809,CT,10,CT,nodes
810,CT,24,CT,nodes
811,CT,26,CT,nodes
812,CT,27,CT,nodes
813,CT,27,CT,nodes
814,CT,25,CT,nodes
815,CT,10,CT,nodes
816,CT,25,CT,nodes
817,CT,18,CT,nodes
818,CT,27,CT,nodes
819,CT,27,CT,nodes
820,CT,26,CT,nodes
821,CT,26,CT,nodes
822,CT,25,CT,nodes
823,CT,26,CT,nodes
824,CT,25,CT,nodes
825,CT,26,CT,nodes
826,CT,26,CT,nodes
827,CT,25,CT,nodes
828,CT,27,CT,nodes
829,CT,27,CT,nodes
830,CT,27,CT,nodes
831,CT,27,CT,nodes
832,CT,25,CT,nodes
833,CT,25,CT,nodes
834,CT,26,CT,nodes
835,CT,27,CT,nodes
836,CT,26,CT,nodes
837,CT,25,CT,nodes
838,CT,26,CT,nodes
839,CT,26,CT,nodes
840,CT,27,CT,nodes
841,CT,25,CT,nodes
842,CT,26,CT,nodes
843,CT,25,CT,nodes
844,CT,27,CT,nodes
845,CT,25,CT,nodes
846,CT,25,CT,nodes
847,CT,27,CT,nodes
848,CT,23,CT,nodes
849,CT,25,CT,nodes
850,CT,26,CT,nodes
851,CT,27,CT,nodes
852,CT,26,CT,nodes
853,CT,26,CT,nodes
854,CT,19,CT,nodes
855,CT,26,CT,nodes
856,CT,25,CT,nodes
857,CT,24,CT,nodes
858,CT,26,CT,nodes
859,CT,27,CT,nodes
860,CT,26,CT,nodes
861,CT,25,CT,nodes
862,CT,26,CT,nodes
863,CT,26,CT,nodes
864,CT,25,CT,nodes
865,CT,25,CT,nodes
866,CT,23,CT,nodes
867,CT,26,CT,nodes
868,CT,27,CT,nodes
869,CT,27,CT,nodes
870,CT,25,CT,nodes
871,CT,27,CT,nodes
872,CT,23,CT,nodes
873,CT,26,CT,nodes
874,CT,25,CT,nodes
875,CT,26,CT,nodes
876,CT,26,CT,nodes
877,CT,24,CT,nodes
878,CT,25,CT,nodes
879,CT,23,CT,nodes
880,CT,25,CT,nodes
881,CT,27,CT,nodes
882,CT,25,CT,nodes
883,CT,23,CT,nodes
884,CT,26,CT,nodes
885,CT,26,CT,nodes
886,CT,26,CT,nodes
887,CT,26,CT,nodes
888,CT,20,CT,nodes
889,CT,23,CT,nodes
890,CT,25,CT,nodes
891,CT,27,CT,nodes
892,CT,25,CT,nodes
893,CT,27,CT,nodes
894,CT,27,CT,nodes
895,CT,26,CT,nodes
896,CT,23,CT,nodes
897,CT,27,CT,nodes
898,CT,16,CT,nodes
899,CT,26,CT,nodes
900,CT,26,CT,nodes
901,CT,27,CT,nodes
902,CT,23,CT,nodes
903,CT,25,CT,nodes
904,CT,25,CT,nodes
905,CT,25,CT,nodes
906,CT,26,CT,nodes
907,CT,25,CT,nodes
908,CT,27,CT,nodes
909,CT,26,CT,nodes
910,CT,25,CT,nodes
911,CT,27,CT,nodes
912,CT,25,CT,nodes
913,CT,26,CT,nodes
914,CT,18,CT,nodes
915,CT,27,CT,nodes
916,CT,25,CT,nodes
917,CT,26,CT,nodes
918,CT,27,CT,nodes
919,CT,25,CT,nodes
920,CT,27,CT,nodes
921,CT,11,CT,nodes
922,CT,27,CT,nodes
923,CT,27,CT,nodes
924,CT,27,CT,nodes
925,CT,26,CT,nodes
926,CT,26,CT,nodes
927,CT,27,CT,nodes
928,CT,27,CT,nodes
929,CT,25,CT,nodes
930,CT,27,CT,nodes
931,CT,25,CT,nodes
932,CT,22,CT,nodes
933,CT,15,CT,nodes
934,CT,24,CT,nodes
935,CT,23,CT,nodes
936,CT,25,CT,nodes
937,CT,24,CT,nodes
938,CT,27,CT,nodes
939,CT,24,CT,nodes
940,CT,26,CT,nodes
941,CT,27,CT,nodes
942,CT,27,CT,nodes
943,CT,26,CT,nodes
944,CT,27,CT,nodes
945,CT,25,CT,nodes
946,CT,26,CT,nodes
947,CT,26,CT,nodes
948,CT,27,CT,nodes
949,CT,25,CT,nodes
950,CT,24,CT,nodes
951,CT,26,CT,nodes
952,CT,17,CT,nodes
953,CT,26,CT,nodes
954,CT,26,CT,nodes
955,CT,26,CT,nodes
956,CT,26,CT,nodes
957,CT,26,CT,nodes
958,CT,27,CT,nodes
959,CT,14,CT,nodes
960,CT,26,CT,nodes
961,CT,27,CT,nodes
962,CT,27,CT,nodes
963,CT,25,CT,nodes
964,CT,26,CT,nodes
965,CT,18,CT,nodes
966,CT,27,CT,nodes
967,CT,25,CT,nodes
968,CT,26,CT,nodes
969,CT,24,CT,nodes
970,CT,24,CT,nodes
971,CT,26,CT,nodes
972,CT,26,CT,nodes
973,CT,26,CT,nodes
974,CT,27,CT,nodes
975,CT,26,CT,nodes
976,CT,27,CT,nodes
977,CT,27,CT,nodes
978,CT,25,CT,nodes
979,CT,27,CT,nodes
980,CT,27,CT,nodes
981,CT,25,CT,nodes
982,CT,26,CT,nodes
983,CT,24,CT,nodes
984,CT,25,CT,nodes
985,CT,27,CT,nodes
986,CT,27,CT,nodes
987,CT,27,CT,nodes
988,CT,24,CT,nodes
989,CT,27,CT,nodes
990,CT,25,CT,nodes
991,CT,21,CT,nodes
992,CT,24,CT,nodes
993,CT,26,CT,nodes
994,CT,26,CT,nodes
